onset	duration	trial_type	condition	repetition	pairmate	pairID	category	subcategory	response_accuracy	response_time
13.502829090924935	1	postlearning	violation	2	n/a	6	face	male	1	0.7611663150601089
16.502781796967607	1	postlearning	violation	2	n/a	45	face	male	1	0.5692137300502509
19.502745075151324	1	postlearning	violation	2	n/a	39	face	female	1	0.8102495959028602
22.502707859035578	1	postlearning	violation	2	n/a	22	face	male	1	0.5592842949554324
25.502677425043654	1	postlearning	violation	2	n/a	24	face	male	1	0.5963181850966066
28.50262936693616	1	postlearning	violation	2	n/a	48	face	female	1	0.5342556179966778
31.50258552702144	1	postlearning	violation	2	n/a	36	face	female	1	0.5474112350493671
34.50254754093476	1	postlearning	violation	2	n/a	37	face	male	1	0.6054535671137273
37.502508284989744	1	postlearning	violation	2	n/a	47	face	female	1	0.6704897941090167
40.50246510398574	1	postlearning	violation	2	n/a	48	face	female	1	0.6705293240956962
43.50242693792097	1	postlearning	violation	2	n/a	44	face	female	1	0.6375708400737494
46.50238774809986	1	postlearning	violation	2	n/a	23	face	female	1	0.6176097309216857
49.50235054409131	1	postlearning	violation	2	n/a	33	face	male	1	0.663648220943287
52.502315788995475	1	postlearning	violation	2	n/a	35	face	female	1	0.7176800121087581
55.502268488053225	1	postlearning	violation	2	n/a	29	face	female	1	0.6727269149851054
58.50222960812971	1	postlearning	violation	2	n/a	7	face	female	1	0.6267699107993394
61.502189334016286	1	postlearning	violation	2	n/a	26	face	male	1	0.5808181199245155
64.50215730397031	1	postlearning	violation	2	n/a	27	face	female	1	0.6538355019874871
67.50211189710535	1	postlearning	violation	2	n/a	19	face	female	1	0.7368888908531517
70.50206989212893	1	postlearning	violation	2	n/a	17	face	male	1	0.8209308679215609
73.50203126203269	1	postlearning	violation	2	n/a	33	face	male	1	0.8668862800113857
76.50199185102247	1	postlearning	violation	2	n/a	4	face	male	1	0.7080113599076867
79.5019491489511	1	postlearning	violation	2	n/a	30	face	male	1	0.6910554179921746
82.50191786000505	1	postlearning	violation	2	n/a	32	face	female	1	0.6930852390360087
85.50187689694576	1	postlearning	violation	2	n/a	34	face	male	1	0.7271310600917786
88.50182923302056	1	postlearning	violation	2	n/a	24	face	male	1	0.6981762980576605
91.5017960539553	1	postlearning	violation	2	n/a	11	face	female	1	0.6642122471239418
94.50175187597051	1	postlearning	violation	2	n/a	31	face	male	1	0.6722577721811831
97.5017094220966	1	postlearning	violation	2	n/a	21	face	male	1	0.7493016039952636
100.50166986999102	1	postlearning	violation	2	n/a	32	face	female	1	0.7463344091083854
103.5016296110116	1	postlearning	violation	2	n/a	2	face	male	1	0.88337581907399
106.50159514206463	1	postlearning	violation	2	n/a	46	face	male	1	0.77140705101192
109.501552504953	1	postlearning	violation	2	n/a	27	face	female	1	0.7534530330449343
112.50151022896169	1	postlearning	violation	2	n/a	1	face	female	1	0.7734980750828981
115.50146750709972	1	postlearning	violation	2	n/a	43	face	male	1	0.7655431998427957
118.50143348402344	1	postlearning	violation	2	n/a	11	face	female	1	0.7575720520690084
121.50139114004558	1	postlearning	violation	2	n/a	16	face	female	1	0.829617704031989
124.50136203202422	1	postlearning	violation	2	n/a	12	face	male	1	0.7416464609559625
127.5013074250892	1	postlearning	violation	2	n/a	15	face	male	1	0.748701818054542
130.50126729207113	1	postlearning	violation	2	n/a	5	face	female	1	0.7667401658836752
133.50123349414207	1	postlearning	violation	2	n/a	8	face	female	1	0.7647782268468291
136.5011843459215	1	postlearning	violation	2	n/a	40	face	female	1	0.7548224551137537
139.5011540420819	1	postlearning	violation	2	n/a	5	face	female	1	0.7348549340385944
142.5011048009619	1	postlearning	violation	2	n/a	4	face	male	1	0.7437510811723769
145.5010668761097	1	postlearning	violation	2	n/a	25	face	male	1	0.7709077759645879
148.50103356712498	1	postlearning	violation	2	n/a	2	face	male	1	0.8029784939717501
151.50098351412453	1	postlearning	violation	2	n/a	8	face	female	1	0.7950265489052981
154.50094754411842	1	postlearning	violation	2	n/a	15	face	male	1	0.8670598738826811
157.50090336007997	1	postlearning	violation	2	n/a	41	face	female	1	0.7901042499579489
160.5008745661471	1	postlearning	violation	2	n/a	46	face	male	1	0.7851380738429725
163.5008524020668	1	postlearning	violation	2	n/a	29	face	female	1	0.8171643288806081
166.5007836050354	1	postlearning	violation	2	n/a	21	face	male	1	0.821228225948289
