onset	duration	trial_type	condition	pairmate	pairID
13.5	1	scene	violation	A	31
15.062906092964113	1	reward	n/a	n/a	n/a
18.0	1	scene	nonviolation	A	72
19.562833080999557	1	neutral	n/a	n/a	n/a
22.5	1	scene	violation	A	46
24.062782745808363	1	reward	n/a	n/a	n/a
27.0	1	scene	violation	A	32
28.562713104765862	1	neutral	n/a	n/a	n/a
31.5	1	scene	nonviolation	A	71
33.06266044080257	1	reward	n/a	n/a	n/a
36.0	1	scene	nonviolation	A	51
37.56259649200365	1	neutral	n/a	n/a	n/a
40.5	1	scene	nonviolation	A	78
42.0625448259525	1	reward	n/a	n/a	n/a
45.0	1	scene	violation	A	41
46.562480570748455	1	neutral	n/a	n/a	n/a
49.5	1	scene	nonviolation	A	80
51.06242118077353	1	reward	n/a	n/a	n/a
54.0	1	scene	violation	A	45
55.56236117566005	1	neutral	n/a	n/a	n/a
58.5	1	scene	nonviolation	A	93
60.06230855965986	1	neutral	n/a	n/a	n/a
63.0	1	scene	violation	A	10
64.56224042503163	1	reward	n/a	n/a	n/a
67.5	1	scene	violation	A	39
69.06218475382775	1	reward	n/a	n/a	n/a
72.0	1	scene	violation	A	40
73.5621237247251	1	neutral	n/a	n/a	n/a
76.5	1	scene	violation	A	3
78.06205543968827	1	neutral	n/a	n/a	n/a
81.0	1	scene	violation	A	2
82.56199704390018	1	reward	n/a	n/a	n/a
85.5	1	scene	nonviolation	A	49
87.06193306483328	1	reward	n/a	n/a	n/a
90.0	1	scene	nonviolation	A	61
91.5618867939338	1	reward	n/a	n/a	n/a
94.5	1	scene	violation	A	16
96.06183282099664	1	neutral	n/a	n/a	n/a
99.0	1	scene	violation	A	4
100.56176181370392	1	neutral	n/a	n/a	n/a
103.5	1	scene	violation	A	13
105.06169772101566	1	neutral	n/a	n/a	n/a
108.0	1	scene	violation	A	17
109.56165187060832	1	neutral	n/a	n/a	n/a
112.5	1	scene	violation	A	6
114.06157730706036	1	reward	n/a	n/a	n/a
117.0	1	scene	nonviolation	A	57
118.56151115475221	1	reward	n/a	n/a	n/a
121.5	1	scene	nonviolation	A	84
123.06146567082031	1	reward	n/a	n/a	n/a
126.0	1	scene	nonviolation	A	69
127.56141762482002	1	reward	n/a	n/a	n/a
130.5	1	scene	violation	A	42
132.06134451180694	1	reward	n/a	n/a	n/a
135.0	1	scene	violation	A	18
136.56127820769322	1	reward	n/a	n/a	n/a
139.5	1	scene	nonviolation	A	75
141.0612160069868	1	neutral	n/a	n/a	n/a
144.0	1	scene	violation	A	11
145.56116612488404	1	reward	n/a	n/a	n/a
148.5	1	scene	nonviolation	A	66
150.061094452627	1	neutral	n/a	n/a	n/a
153.0	1	scene	nonviolation	A	53
154.5610491340049	1	reward	n/a	n/a	n/a
157.5	1	scene	nonviolation	A	95
159.06098214490342	1	neutral	n/a	n/a	n/a
162.0	1	scene	nonviolation	A	52
163.56092666368932	1	neutral	n/a	n/a	n/a
166.5	1	scene	violation	A	34
168.06088121095672	1	neutral	n/a	n/a	n/a
171.0	1	scene	nonviolation	A	86
172.5608056397177	1	reward	n/a	n/a	n/a
175.5	1	scene	violation	A	19
177.0607447740622	1	reward	n/a	n/a	n/a
180.0	1	scene	nonviolation	A	85
181.5606865207665	1	neutral	n/a	n/a	n/a
184.5	1	scene	nonviolation	A	91
186.0606268979609	1	reward	n/a	n/a	n/a
189.0	1	scene	nonviolation	A	58
190.56056428886953	1	neutral	n/a	n/a	n/a
193.5	1	scene	violation	A	25
195.060504169669	1	neutral	n/a	n/a	n/a
198.0	1	scene	violation	A	28
199.56043030600998	1	reward	n/a	n/a	n/a
202.5	1	scene	nonviolation	A	87
204.06037813285369	1	neutral	n/a	n/a	n/a
207.0	1	scene	nonviolation	A	63
208.56031587300822	1	neutral	n/a	n/a	n/a
211.5	1	scene	nonviolation	A	92
213.0602632667869	1	reward	n/a	n/a	n/a
216.0	1	scene	nonviolation	A	79
217.56020144792274	1	neutral	n/a	n/a	n/a
220.5	1	scene	violation	A	21
222.06013195775452	1	neutral	n/a	n/a	n/a
225.0	1	scene	violation	A	38
226.56007573474201	1	reward	n/a	n/a	n/a
