onset	duration	trial_type	condition	response_accuracy	response_time
13.499989303993061	2.5	B	violation	1	1.612510728999041
16.499951230944134	2.5	B	nonviolation	0	1.3235406610183418
19.49990672199056	2.5	A	violation	1	1.3975974390050396
22.499867212958637	2.5	A	violation	1	1.0276181630324572
25.49982827994973	2.5	A	violation	1	0.7945866549853235
28.49978869990445	2.5	A	violation	1	0.9067115070065483
31.49974974489305	2.5	A	nonviolation	1	0.9347444180166348
34.499710508971475	2.5	A	nonviolation	1	0.931785302935168
37.49967090494465	2.5	A	nonviolation	1	1.201828903052956
40.49963169894181	2.5	A	violation	1	0.7868645030539483
43.49959300400225	2.5	B	nonviolation	0	2.024913383997045
46.499552717898034	2.5	B	violation	0	1.6659462600946426
49.4995134639321	2.5	B	violation	0	1.5699844009941444
52.49947361694649	2.5	B	nonviolation	1	1.6790261350106448
55.49943463900127	2.5	B	nonviolation	0	1.358063157997094
58.49939506989904	2.5	A	nonviolation	1	1.3279657770181077
61.499355657957494	2.5	B	violation	1	0.9971408159472048
64.49931605590973	2.5	B	nonviolation	1	1.393181713996455
67.499276558985	2.5	B	nonviolation	0	1.7652229010127485
70.4992349979002	2.5	B	violation	1	1.6992652950575575
73.49919509992469	2.5	A	nonviolation	1	1.0433118829969317
76.49915507389233	2.5	A	violation	1	1.0923508320702242
79.49912377097644	2.5	A	nonviolation	1	0.9543766899732872
82.49907564197201	2.5	B	violation	1	1.637428242014721
85.49903798289597	2.5	B	nonviolation	0	1.3084647801006213
88.49899832799566	2.5	A	nonviolation	1	1.0815028439974412
91.49895828997249	2.5	A	violation	1	0.8925436480203643
94.49892373592593	2.5	B	nonviolation	1	1.2774931220337749
97.49887868296356	2.5	B	nonviolation	0	1.3146209319820628
100.49883866193704	2.5	B	violation	1	1.6547379719559103
103.4987988679204	2.5	A	violation	1	1.1807270710123705
106.49875717994291	2.5	A	nonviolation	1	0.7946662630420178
109.49871972098481	2.5	A	nonviolation	1	0.7727922679623589
112.49867921497207	2.5	B	violation	0	1.357824567006901
115.49863936193287	2.5	A	nonviolation	1	1.0368682449916378
118.49859917094	2.5	B	violation	1	1.4369106809608638
121.49855929089243	2.5	B	nonviolation	0	1.2719474560581148
124.49851883191151	2.5	A	violation	1	0.7829995780484751
127.49847955291624	2.5	A	nonviolation	1	0.7910240880446509
130.49844239198134	2.5	A	violation	1	0.8940851179650053
133.49839914089534	2.5	B	nonviolation	1	1.331114930100739
